
Span Labels: 

DEFENDANT 5630
VICTIM 5378
CRIMEDATE 3423
GUILTY 3083
TRANSPORT 2119
NOTGUILTY 2001
DEFENDANTHOME 1616
GRANDLARCENY 1609
OCCUPATION 1347
CRIMELOCATION 1207
THEFT 873
THEFTFROMPLACE 633
DEATH 451
HIGHWAYROBBERY 338
SHOPLIFTING 293
POCKETPICKING 253
BURGLARY 223
RECEIVING 197
ANIMALTHEFT 155
BRANDING 134
WHIPPING 127
MURDER 115
ROBBERY 75
HOUSEBREAKING 63
BIGAMY 59
PERJURY 47
IMPRISON 35
FORGERY 34
RAPE 29
PETTYLARCENY 28
FINE 26
FRAUD 23
COININGOFFENCES 22
INFANTICIDE 18
EXTORTION 18
PERVERTINGJUSTICE 16
SURETIES 15
PILLORY 13
KILL 12
ASSAULT 11
MANSLAUGHTER 6
SODOMY 6
ASSAULTWITHSODOMITICALINTENT 6
RESPITEDFORPREGNANCY 6
SEDUCINGALLEGIANCE 6
RETURNFROMTRANSPORTATION 5
ARSON 5
BURNING 5
PIRACY 2
MISCELLANEOUS 2
SPECIALVERDICT 2
PETTYTREASON 2
DAMAGE 2
EMBEZZLEMENT 1
ASSAULTWITHINTENT 1
BARRATRY 1
PUBLICWHIPPING 1
NOPUNISH 1
GAMELAWOFFENCE 1
RIOT 1
SENTENCERESPITED 1
BANKRUPCY 1
NEWGATE 1
CONSPIRACY 1


Rel Labels: 

DEFOFF 6209
DEFVER 6209
OFFVIC 5807
OFFDATE 5798
DEFPUN 3356
PERSPLACE 1944
PERSOCC 1418
